"Time","EventSeriesID","TaskType","ObjectType","ObjectName","ObjectID","Warning"
"2021-08-25T15:18:35.716Z","ad2f3b85-56e6-4525-825f-f45c8a2ff560","Backup","VmwareVm","am1-robebaxt-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1523785","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T15:22:50.361Z","c59b6cd6-c558-414f-97ff-53241c418a6a","Backup","VmwareVm","am1-stevhill-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-35038","Cannot establish a connection with the Rubrik Backup Service. Reason: socket open() error: Connection refused"
"2021-08-25T15:22:50.361Z","c59b6cd6-c558-414f-97ff-53241c418a6a","Backup","VmwareVm","am1-stevhill-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-35038","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T15:28:31.861Z","39851b35-ee72-48d4-a997-df3edb585531","Backup","VmwareVm","am1-lab-sp13-1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-14337","Cannot establish a connection with the Rubrik Backup Service. Reason: Failed to retrieve certificate from VM am1-lab-sp13-1"
"2021-08-25T15:28:31.861Z","39851b35-ee72-48d4-a997-df3edb585531","Backup","VmwareVm","am1-lab-sp13-1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-14337","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T15:31:11.715Z","1e3bc330-6274-4aec-9f2a-55f57c80b301","Backup","VmwareVm","am1-lab-sql16-1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-589","Cannot establish a connection with the Rubrik Backup Service. Reason: socket open() error: Connection refused"
"2021-08-25T15:31:11.715Z","1e3bc330-6274-4aec-9f2a-55f57c80b301","Backup","VmwareVm","am1-lab-sql16-1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-589","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T15:31:44.848Z","a369ec59-5d83-4038-900c-81cd1bd6c9f4","Backup","VmwareVm","am1-lab-dc2","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-587","Cannot establish a connection with the Rubrik Backup Service. Reason: socket open() error: Connection refused"
"2021-08-25T15:31:44.848Z","a369ec59-5d83-4038-900c-81cd1bd6c9f4","Backup","VmwareVm","am1-lab-dc2","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-587","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T15:31:25.176Z","1031e107-1293-454b-800f-6f3e612c24b0","Backup","VmwareVm","am1-chrilumn-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-727","Cannot establish a connection with the Rubrik Backup Service. Reason: Failed to retrieve certificate from VM am1-chrilumn-w1"
"2021-08-25T15:31:25.176Z","1031e107-1293-454b-800f-6f3e612c24b0","Backup","VmwareVm","am1-chrilumn-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-727","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T15:34:17.174Z","9eca4451-e00f-4d4b-87d4-841134cf7f56","Backup","VmwareVm","am1-jakerobi-l1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1476556","Failed pre-backup script cleanup for vSphere VM 'am1-jakerobi-l1'"
"2021-08-25T15:34:40.934Z","e983cf06-bd33-4f9f-b347-53d38c8fd021","Backup","VmwareVm","am1-zakpelle-l1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-3697","The guest OS on virtual machine 'am1-zakpelle-l1' is not running or this virtual machine does not have VMware Tools installed."
"2021-08-25T15:26:41.426Z","19d5b1e8-f9d2-4fbb-8e69-fa041c9cb75d","Backup","LinuxFileset","/","Fileset:::c423eced-4658-4996-afb9-dc629d3ba387","Encountered 45 errors while performing metadata scan for fileset '/' on 'am1-joelspro-l1'."
"2021-08-25T15:26:41.426Z","19d5b1e8-f9d2-4fbb-8e69-fa041c9cb75d","Backup","LinuxFileset","/","Fileset:::c423eced-4658-4996-afb9-dc629d3ba387","Found 20 errors while retrieving data for fileset '/' from 'am1-joelspro-l1'."
"2021-08-25T15:44:30.474Z","479aedcb-42e7-4304-b00b-ff42ec2563c7","Backup","VmwareVm","am1-tracator-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1585700","Cannot establish a connection with the Rubrik Backup Service. Reason: Failed to retrieve certificate from VM am1-tracator-w1"
"2021-08-25T15:44:30.474Z","479aedcb-42e7-4304-b00b-ff42ec2563c7","Backup","VmwareVm","am1-tracator-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1585700","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T15:51:19.643Z","fedf913c-36d4-4b40-a03f-0e4cb5ce194a","Backup","VmwareVm","am1-aarosmit-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1623618","Cannot establish a connection with the Rubrik Backup Service. Reason: Failed to retrieve certificate from VM am1-aarosmit-w1"
"2021-08-25T15:51:19.643Z","fedf913c-36d4-4b40-a03f-0e4cb5ce194a","Backup","VmwareVm","am1-aarosmit-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1623618","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
